dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
17,122,9046,65,477,2578,90,423,3479,21
81,262,3856,1,567,7904,66,347,6847,88
65,122,610,99,495,4598,66,589,6471,94
53,217,7079,78,101,8025,98,991,161,94
34,345,1825,18,65,7227,23,570,4715,12
79,275,9266,83,831,459,1,616,9636,78
60,97,2666,74,214,1472,51,138,3694,77
40,928,3798,52,168,6624,8,486,4749,89
99,466,5415,90,848,5624,6,610,5770,12
32,912,2438,82,355,3688,80,769,8581,71
67,484,6775,88,327,4107,8,659,4723,48
32,5,5539,3,414,5047,13,861,8677,16
13,122,7719,80,832,4176,44,535,6217,99
20,85,1735,28,388,1946,95,35,6569,79
47,741,1646,23,48,1492,11,832,4890,90
19,502,4329,22,162,813,34,644,2035,97
7,80,158,52,549,9015,94,228,3283,65
6,915,4582,37,634,8652,93,824,9621,15
66,361,5046,5,126,54,89,855,8905,28
16,425,8912,56,303,3589,56,77,8344,40
32,702,1637,62,828,2216,74,315,1757,88
47,766,5052,15,507,3408,65,680,8071,78
75,40,538,11,154,1500,67,642,8081,7
58,729,6233,60,119,3794,27,880,7782,84
85,347,2856,72,303,8350,54,264,3215,83
21,113,6954,21,67,9115,28,48,5337,92
29,876,9366,53,873,9563,1,481,2980,18
37,199,3532,73,612,1748,9,147,1187,57
50,134,3462,93,707,6792,70,243,9916,87
53,198,7534,97,201,8861,75,657,3255,3
7,156,9583,85,850,9949,21,388,689,40
26,322,152,70,756,8893,78,633,7045,87
26,911,214,17,885,6871,93,710,1341,34
97,510,5087,75,536,3925,22,308,5212,3
20,844,6091,53,377,5775,22,761,7394,75
29,305,1722,28,481,7453,26,187,235,62
96,849,3508,6,247,49,21,741,7999,6
27,43,8121,57,753,7539,28,798,2048,21
63,716,127,30,175,1792,28,730,1925,53
96,798,1166,84,991,8694,42,6,2119,54
68,322,3407,33,96,7818,14,687,9060,86
60,221,9514,57,90,9170,95,90,8158,33
47,258,5494,5,768,3941,34,972,505,3
18,601,3876,58,269,1759,79,901,8169,48
3,449,7752,75,291,8072,90,716,5928,76
34,614,8992,72,269,3002,14,839,6815,3
63,993,7733,7,755,232,23,536,9932,89
48,357,279,82,272,765,42,382,3749,27
16,716,4995,44,981,8925,21,62,7018,45
43,842,4608,15,225,6916,53,691,2464,0
91,868,8766,86,423,9619,84,292,4917,97
29,262,5407,4,461,8156,85,395,2577,27
92,26,5485,50,478,738,92,98,384,69
45,6,3086,13,135,2677,1,682,4836,70
5,263,5967,61,5,9480,41,579,4475,41
98,355,5548,93,401,362,80,218,3332,63
36,553,8968,90,764,3199,53,689,3993,55
23,220,7683,41,931,4996,65,915,856,50
92,852,7890,91,340,8800,52,698,6389,42
45,153,5337,16,586,2656,53,203,5313,79
52,572,7799,25,216,7963,46,90,2864,97
94,275,5884,94,677,4473,84,752,6909,74
98,220,5295,92,727,3221,3,43,5688,13
59,590,3693,9,448,6263,11,45,4687,53
96,86,936,51,347,4497,26,36,6699,33
62,590,3686,80,464,9099,42,276,5245,28
84,50,5651,32,353,7484,10,572,6506,53
31,841,158,84,549,6485,11,142,3995,54
86,897,395,28,361,63,36,189,1852,77
32,239,2776,21,353,4086,12,841,9233,67
66,371,2913,89,136,6745,81,589,7715,35
17,127,3893,27,98,2412,93,487,4714,51
24,797,6617,6,95,2221,95,887,1044,8
94,228,6782,31,238,4817,40,410,5027,39
53,346,5168,29,420,2715,81,991,9159,94
57,912,7798,75,10,2530,83,360,8004,83
66,194,2471,92,697,1935,62,354,1657,74
45,967,4399,13,545,3726,59,506,879,51
23,938,8795,20,977,9334,93,664,3403,21
31,100,7076,1,62,6926,16,397,4905,38
46,304,3161,66,969,2488,81,784,2922,71
85,3,1311,79,685,2591,19,500,3568,70
22,983,4677,59,372,4945,0,821,2648,45
65,796,6562,39,795,897,54,197,1807,23
26,711,9346,58,964,2164,93,823,6100,34
1,161,5999,72,133,3740,54,884,8282,38
89,239,149,92,650,3837,44,521,1977,16
16,392,1830,0,625,8311,65,518,7819,89
32,185,450,58,922,4379,1,376,2894,50
8,80,9266,12,578,6521,24,94,1131,9
42,585,7359,84,732,9095,28,546,8041,49
47,919,6107,51,527,6952,58,87,2928,14
38,695,2801,81,788,5193,65,387,5805,10
92,748,8710,29,198,6204,21,473,5752,88
41,725,4328,67,682,6765,20,274,4890,58
25,80,6448,90,840,4438,37,817,2093,34
98,734,3183,19,529,8639,18,537,3732,81
49,875,172,31,791,8221,57,516,3211,60
24,700,9387,43,398,639,53,804,5586,79
23,200,5513,49,330,6469,16,538,3070,87
12,974,9843,51,922,6254,95,545,9020,8
59,702,9316,94,543,9760,54,438,8000,19
6,681,9180,79,519,5484,39,917,8970,59
56,882,9632,44,204,1175,80,819,8316,14
35,221,4991,26,984,1510,86,637,7667,55
44,16,7635,62,620,6293,23,833,2296,8
19,710,5003,34,361,3844,4,129,9691,71
64,237,929,75,722,1828,73,193,6746,72
7,748,3504,63,806,7661,31,134,9511,65
15,345,5181,67,959,2194,4,198,5753,60
13,244,4849,31,463,6265,69,39,5726,11
75,449,4207,32,457,346,58,923,8150,62
86,303,2575,98,92,6865,48,736,2424,42
14,732,3042,41,900,8967,76,511,5980,20
91,112,4571,0,995,5035,47,155,9110,86
97,453,8803,78,724,1352,53,964,7556,13
65,416,6115,59,449,4253,23,920,3605,22
31,805,9812,93,662,6732,60,457,8713,5
86,256,384,88,666,6914,55,797,7333,36
62,54,9565,45,828,2984,31,990,5718,23
85,438,1260,32,668,855,73,367,8361,13
50,137,8350,35,640,6750,21,315,2807,44
24,371,8660,73,119,9635,35,191,7755,32
57,822,6741,49,428,9419,5,775,8415,84
62,606,4930,47,266,1184,89,845,2949,65
61,124,9123,34,263,725,94,546,8961,23
21,23,1124,45,459,8373,49,932,90,37
57,455,3832,22,916,6563,83,820,4662,22
57,795,6333,46,791,3298,39,577,3696,36
85,91,6637,43,203,6594,40,849,5925,39
48,495,4020,59,321,8839,52,475,1297,53
51,363,8788,13,357,7238,28,339,5417,78
41,562,236,10,799,9209,70,706,4112,89
69,893,874,34,554,8407,87,847,4696,13
14,941,5341,63,99,4743,84,382,3570,12
53,711,3866,62,456,1726,77,645,2343,47
59,156,6078,20,298,5226,82,554,3158,41
96,658,325,8,512,9560,2,571,5391,99
7,92,6079,85,372,2104,85,318,9026,39
52,378,8223,51,495,5637,82,364,7983,79
59,718,3911,31,506,4460,58,11,9750,50
4,478,3631,24,304,1146,26,17,2739,76
67,4,1767,33,114,3145,17,189,1529,46
5,432,4456,28,745,6081,0,160,7486,37
95,91,3085,80,461,7141,5,598,9166,86
93,310,3627,0,145,9305,39,784,4608,88
46,45,4853,53,760,8251,33,108,3441,30
98,142,1732,78,621,6303,37,19,6773,96
54,761,7636,18,851,3029,54,11,7671,3
39,455,3981,63,631,9053,45,594,67,53
51,995,7379,54,701,6829,97,480,6211,1
15,223,7876,16,212,9767,92,908,7913,47
12,166,9457,9,56,8138,21,720,3747,28
29,998,7880,10,40,8130,22,737,812,59
18,405,2976,3,896,8533,22,869,8558,85
16,317,4636,95,217,8638,24,809,634,87
62,196,1953,65,121,7287,23,618,9393,9
18,841,7604,17,328,958,34,122,5509,88
91,670,5483,7,966,175,9,978,3687,42
57,932,5193,87,774,9168,31,605,4967,42
54,662,9812,40,78,2442,41,230,7075,79
89,735,5843,4,783,7980,45,163,3258,76
89,727,4801,86,433,6329,3,244,3915,81
61,899,9379,48,128,7481,86,300,7091,83
22,298,3348,32,565,3038,2,24,1460,83
8,37,2789,63,856,4018,85,768,1252,54
11,654,1693,19,892,4816,85,887,382,46
0,10,7891,82,394,3308,11,486,9509,15
57,280,329,18,171,3310,54,602,2204,91
0,409,7331,15,894,6231,53,116,8713,10
33,501,8271,81,536,4345,82,249,4252,67
95,550,5874,96,972,507,1,80,2583,36
47,55,9856,29,199,8536,54,525,2217,90
88,946,3154,90,833,6075,90,148,4932,6
0,868,404,55,989,7319,8,908,8739,43
15,355,3912,14,852,5606,14,447,9886,94
60,928,6478,45,288,8750,42,72,1097,48
63,111,524,31,898,9488,77,368,7110,65
62,363,520,94,785,6060,14,49,6024,30
68,147,7377,15,39,8285,53,712,7115,14
21,497,3005,45,787,3709,43,146,540,37
92,307,3402,24,879,7952,48,377,4155,30
66,545,382,98,668,8547,52,347,7943,33
75,300,7778,27,616,3570,36,265,5712,52
25,331,6671,73,353,4746,59,831,7649,4
15,611,6001,26,388,8416,40,590,5350,40
50,771,1065,37,41,1958,14,185,9690,4
85,780,7330,74,7,1054,13,424,1013,58
56,58,7489,86,122,817,17,608,4656,7
28,322,6447,33,437,6844,98,180,4090,32
77,436,6485,52,459,9447,59,436,699,46
91,504,6220,81,711,8552,35,137,5910,54
68,400,8946,39,661,1132,18,95,9858,6
46,454,4933,3,945,5713,99,684,7794,31
93,377,2915,25,128,9551,66,814,5301,58
61,556,927,76,263,2028,83,293,6184,85
68,302,9496,20,506,4456,1,511,451,40
75,205,8646,25,424,1390,53,610,4059,44
15,863,7314,61,673,2911,34,919,9882,53
89,623,6395,21,668,5021,38,297,5434,31
89,752,8755,40,894,2798,37,53,6413,32
47,409,7544,74,450,2897,40,12,2754,66
84,926,4829,81,257,9695,92,727,572,47
38,879,4013,70,856,3485,71,62,8594,15
99,123,6325,49,316,3753,13,561,3744,3
32,670,7185,89,730,2555,91,72,2888,46
93,463,5753,40,977,8120,35,831,7826,69
22,315,6231,45,746,2490,16,961,8169,63
9,512,6845,56,213,1977,30,853,7340,97
68,173,7538,8,679,1746,63,339,3140,10
99,801,2500,89,37,5569,87,367,528,2
33,217,1609,76,595,769,49,820,5025,95
51,693,9495,65,353,7972,30,771,5694,59
94,698,1174,9,331,3450,86,811,8173,65
9,605,4638,14,317,8635,22,628,79,89
18,40,7735,43,526,4617,1,486,3851,47
57,50,3217,89,724,8176,60,953,3666,21
95,516,4424,68,35,8517,9,171,5581,6
0,343,5155,53,561,6473,71,425,2726,89
68,905,4174,30,891,2830,63,931,5323,51
3,677,3158,69,423,339,42,221,5409,51
15,930,4832,4,92,4267,82,33,143,83
23,705,1335,20,902,5993,71,83,3427,13
79,988,6378,51,455,7832,77,995,5764,71
1,658,8928,39,981,5958,22,118,9791,51
91,677,407,6,463,4770,30,772,7386,15
31,436,4813,82,623,6181,8,543,4483,35
90,375,8334,44,94,4497,60,981,4188,33
83,233,8081,24,370,4982,43,17,6975,15
23,561,5491,88,694,6764,42,650,705,2
11,333,7164,32,666,9676,79,641,741,66
49,859,6293,4,153,5016,80,70,5191,95
34,673,3468,38,156,6323,78,63,9220,50
32,899,2758,1,535,9127,70,258,775,93
32,60,8832,99,540,2996,52,491,3846,63
60,878,3201,72,382,6497,10,548,8247,66
50,856,220,18,313,6370,59,497,3807,86
42,500,8943,89,856,7138,58,744,234,21
11,758,5604,55,544,6018,64,235,5739,89
66,246,225,88,917,6909,63,954,8503,44
64,965,9746,84,216,9103,53,535,2421,67
32,731,2166,74,102,4706,23,594,2860,93
39,357,2553,55,600,98,86,63,8379,33
73,392,7596,56,999,399,53,882,8540,48
42,691,9191,53,194,7989,63,276,4005,11
43,337,7438,24,588,547,6,363,1966,68
28,926,6963,84,70,4192,4,48,4236,10
12,853,7060,56,867,1626,67,457,9914,5
11,67,1858,59,620,1627,96,351,5031,75
94,160,4163,0,739,6034,96,965,4887,40
45,611,4324,30,103,1969,38,354,2289,56
1,826,8396,68,529,7171,2,227,7045,81
34,418,5195,45,244,6643,11,194,1762,21
86,268,6838,7,859,6054,97,290,212,60
80,590,5950,55,226,4361,52,832,4536,11
89,188,9311,64,170,4775,63,388,3067,4
7,96,5663,56,985,2192,19,788,7116,17
92,987,4943,98,691,316,11,184,1669,80
25,303,536,10,877,1220,24,222,6627,50
73,865,7635,42,247,6166,38,988,1631,50
89,165,6850,67,905,2045,87,925,8058,7
33,960,7114,36,408,3005,63,689,3089,29
6,565,7512,99,772,1150,19,376,9728,97
67,158,8283,83,833,4738,80,306,4781,90
57,48,2307,18,953,1533,25,160,2350,29
74,464,2269,46,216,5505,95,160,6702,60
28,661,4993,14,707,2750,78,189,1457,42
35,223,8391,88,264,2109,54,142,1903,60
88,924,8043,64,325,2092,17,17,589,77
20,192,8382,84,482,7290,20,893,3912,27
35,47,5421,86,912,2181,18,133,682,31
9,603,7537,91,628,1447,61,130,6076,87
72,104,4028,31,533,5569,35,154,2636,81
23,961,7555,65,410,6965,40,710,4083,41
63,280,5937,19,965,2536,98,648,6895,59
98,20,9272,38,105,9778,27,730,6851,55
48,484,9388,19,323,7330,31,344,400,95
98,793,3312,31,334,4481,98,392,5497,4
35,871,9999,81,835,7326,66,119,3061,16
81,640,1062,78,300,2998,96,40,5737,96
95,415,8954,63,696,5953,25,378,5297,52
23,584,6034,59,485,5333,6,324,1720,24
22,173,4569,80,184,1981,11,106,6299,79
61,752,8242,23,668,5299,52,504,6781,80
95,260,3594,34,255,1925,92,283,8413,29
36,167,2278,32,164,6782,78,605,5899,12
11,144,5661,85,540,3860,80,652,9493,80
54,564,9492,1,719,3878,42,98,1269,7
12,220,3786,84,908,8290,59,387,3044,86
22,619,5634,66,782,3060,84,930,3528,17
88,338,9959,28,396,7661,36,453,6948,79
98,871,746,60,389,350,95,998,5830,78
29,796,3839,83,810,2513,71,418,5657,11
16,882,9400,90,622,586,36,567,5763,12
